CityId,name,addr,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,CreatedOn,Latitude,Longitude,ResUrlReviews
217,Cô Ngọc - Bún Thang ,"443/63 Điện Biên Phủ, P. 3, Quận 3, TP. HCM",99908,2,5.6,14,36,5,0,0,0,02/01/1970,10.771735,106.679242,/ho-chi-minh/co-ngoc-bun-thang/binh-luan
217,Quán chay Hoa Tâm,"1 Đường Số 1 , P. 7, Quận Gò Vấp, TP. HCM",29848,2,8.0,9,15,2,0,0,0,02/01/1970,10.819912,106.686237,/ho-chi-minh/quan-chay-hoa-tam/binh-luan
217,Kobe Teppanyaki - Nhà Hàng Nhật,"13A Tú Xương, P. 7, Quận 3, TP. HCM",973,2,7.998,522,1241,33,0,0,0,02/01/1970,10.783364,106.689016,/ho-chi-minh/kobe-nha-hang-nhat/binh-luan
217,Nhà Hàng Chay Mộc Nhiên - CN Sư Vạn Hạnh,"391/4 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",12806,2,7.076,597,479,54,0,0,0,02/01/1970,10.7719091,106.6694254,/ho-chi-minh/nha-hang-chay-moc-nhien-cn-su-van-hanh/binh-luan
217,Ăn Vặt Sài Thành - Kha Vạn Cân,"792/26 Kha Vạn Cân, Tp. Thủ Đức, TP. HCM",91940,2,7.064,378,760,50,0,0,0,02/01/1970,10.8472469,106.752927,/ho-chi-minh/an-vat-sai-thanh-kha-van-can/binh-luan
217,Phượng Hồng - Quán Chè & Ăn Vặt,"335A Minh Phụng, P. 2, Quận 11, TP. HCM",725210,2,8.134,14,51,3,0,0,0,02/01/1970,10.7573923,106.6435528,/ho-chi-minh/phuong-hong-quan-che-an-vat/binh-luan
217,Trái Cây Chị Thảo - 63/2 Phùng Văn Cung,"63/2 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",802997,2,3.434,51,19,6,0,0,0,02/01/1970,10.800728,106.6858715,/ho-chi-minh/trai-cay-chi-thao-63-2-phung-van-cung/binh-luan
217,Cơm Lam Gà Nướng - 551/1 Phan Văn Trị,"551/1 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",1047011,2,4.75,3,3,4,0,0,0,02/01/1970,10.8252262,106.6900437,/ho-chi-minh/com-lam-ga-nuong-551-1-phan-van-tri/binh-luan
217,"Minh Khang - Bánh Canh, Bún Cá & Bún Sứa","15 Nguyễn Ngọc Lộc, P. 14, Quận 10, TP. HCM",926850,2,8.88,1,21,5,0,0,0,02/01/1970,10.767559,106.663119,/ho-chi-minh/minh-khang-banh-canh-bun-ca-bun-sua/binh-luan
217,Nguyên Lợi - Mì Gốc Hoa,"333 Xô Viết Nghệ Tĩnh, P. 24, Quận Bình Thạnh, TP. HCM",701899,2,6.75,2,184,4,0,0,0,02/01/1970,10.80357,106.711305,/ho-chi-minh/nguyen-loi-mi-goc-hoa/binh-luan
217,Gỏi Cuốn Mạ Tôi - Võ Văn Tần,"221/19 Võ Văn Tần, P. 5, Quận 3, TP. HCM",1000046511,2,10.0,0,3,1,0,0,0,02/01/1970,10.772272,106.6856009,/ho-chi-minh/goi-cuon-ma-toi-vo-van-tan/binh-luan
217,Gà Rán & Khoai Tây Lắc,"268 Tôn Đản, Quận 4, TP. HCM",727641,2,4.6,1,6,2,0,0,0,02/01/1970,10.7564792,106.7059883,/ho-chi-minh/ga-ran-khoai-tay-lac/binh-luan
217,Hải Sản 98 - Phan Xích Long,"126 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",25466,2,7.054,167,105,18,0,0,0,02/01/1970,10.7988053,106.6867575,/ho-chi-minh/hai-san-98-hoa-dao/binh-luan
217,Lẩu Tôm 5 Ri Biên Hòa - Phạm Văn Đồng,"242-244 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",678644,2,7.384,210,741,50,0,0,0,02/01/1970,10.8276412,106.7212676,/ho-chi-minh/lau-tom-5-ri-bien-hoa-pham-van-dong/binh-luan
217,Bánh Bèo Tô - Nguyễn Thượng Hiền,"59 Nguyễn Thượng Hiền, Quận 3, TP. HCM",725728,2,9.1,6,69,2,0,0,0,02/01/1970,10.7712111,106.6858589,/ho-chi-minh/banh-beo-to-nguyen-thuong-hien/binh-luan
217,Sông Trăng Cháo Vịt Sài Gòn - Trần Cao Vân,"40 Trần Cao Vân, P. 6, Quận 3, TP. HCM",641,2,6.528,73,98,25,0,0,0,02/01/1970,10.783143,106.696343,/ho-chi-minh/song-trang-tran-cao-van/binh-luan
217,Quán Cơm Happy,"44/12 Tân Hải, P. 13, Quận Tân Bình, TP. HCM",860660,2,9.066,212,102,6,0,0,0,02/01/1970,10.802269,106.639076,/ho-chi-minh/quan-com-happy/binh-luan
217,Út Mười - Canh Bún & Bún Riêu Cua,"110 Đại Lộ 2, P. Phước Bình, Quận 9, TP. HCM",910408,2,8.8,2,4,1,0,0,0,02/01/1970,10.817358,106.771003,/ho-chi-minh/ut-muoi-canh-bun-bun-rieu-cua/binh-luan
217,San Fu Lou - Ẩm Thực Quảng Đông - Mplaza,"Tầng B1 Mplaza, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",1107756,2,9.0,0,2,1,0,0,0,02/01/1970,10.7817527,106.7000475,/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-mplaza/binh-luan
217,K-Pub - Nướng Phong Cách Pub Hàn Quốc - Lê Văn Sỹ,"404 Lê Văn Sỹ, P. 2, Quận Tân Bình, TP. HCM",972826,2,8.31,168,144,82,0,0,0,02/01/1970,10.798865,106.662214,/ho-chi-minh/k-pub-nuong-phong-cach-pub-han-quoc-le-van-sy/binh-luan
217,Bếp Của Bâu - Kem Mây Ni Tơ - Bình Tây,"56 Bình Tây, P. 1, Quận 6, TP. HCM",261439,2,6.5,5,33,2,0,0,0,02/01/1970,10.747324,106.650948,/ho-chi-minh/bep-cua-bau-kem-may-ni-to-binh-tay/binh-luan
217,Bánh Hẹ - Nguyễn Trãi,"Đối Diện 710 Nguyễn Trãi, P. 2, Quận 5, TP. HCM",281287,2,7.066,72,139,9,0,0,0,02/01/1970,10.753181,106.660999,/ho-chi-minh/banh-he/binh-luan
217,Starbucks Coffee - Etown 5,"G2A, Etown 5, 364 Cộng Hòa, P. 13, Quận Tân Bình, TP. HCM",937844,2,6.134,23,5,3,0,0,0,02/01/1970,10.802167,106.641286,/ho-chi-minh/starbucks-coffee-etown-5/binh-luan
217,Lương Ký Mì Gia,"1 Huỳnh Mẫn Đạt, P.19, Quận Bình Thạnh, TP. HCM",29741,2,6.824,236,944,84,0,0,0,02/01/1970,10.791856,106.708921,/ho-chi-minh/luong-ky-mi-gia/binh-luan
217,Gyu-Kaku Japanese BBQ - Lê Thánh Tôn,"Tầng 1, 15/7 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",859155,2,5.142,30,19,7,0,0,0,02/01/1970,10.780703,106.704826,/ho-chi-minh/gyu-kaku-japanese-bbq-le-thanh-ton/binh-luan
217,Bánh Mì Thúy Tiền,"40 Vạn Kiếp, P.3, Quận Bình Thạnh, TP. HCM",28442,2,7.656,13,40,7,0,0,0,02/01/1970,10.801735,106.693359,/ho-chi-minh/banh-mi-thuy-tien/binh-luan
217,Sushi World Signature - Trần Quang Khải,"124 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",1022907,2,8.16,23,17,5,0,0,0,02/01/1970,10.792067,106.692077,/ho-chi-minh/sushi-world-signature-tran-quang-khai/binh-luan
217,Hủ Tiếu Nam Vang,"116 Đường D1, P. 25, Quận Bình Thạnh, TP. HCM",696817,2,8.4,4,12,1,0,0,0,02/01/1970,10.802639,106.719617,/ho-chi-minh/hu-tieu-nam-vang-116-duong-d1/binh-luan
217,KaKao Zen - Cacao Mix Sữa Hạt - Nguyễn Quang Bích,"33 Nguyễn Quang Bích, P. 13, Quận Tân Bình, TP. HCM",1000050782,2,9.868,2,1,6,0,0,0,02/01/1970,10.8047365,106.6459056,/ho-chi-minh/kakao-zen-cacao-mix-sua-hat-nguyen-quang-bich.dx834p/binh-luan
217,Hải Sản Phan Thiết - Nguyễn Thiện Thuật,"005 Lô D C/c Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",33094,2,7.1,21,73,4,0,0,0,02/01/1970,10.768197,106.678123,/ho-chi-minh/hai-san-phan-thiet-nguyen-thien-thuat/binh-luan
217,Mì Trộn Đệ Nhất - Đinh Tiên Hoàng,"26/20B6 Đinh Tiên Hoàng, P. 1, Quận Bình Thạnh, TP. HCM",1041427,2,9.0,9,13,2,0,0,0,02/01/1970,10.794166,106.697101,/ho-chi-minh/mi-tron-de-nhat-dinh-tien-hoang/binh-luan
217,Triệu Minh Hiệp - Tiệm Bánh Người Hoa,"123/23 Bình Tây, P. 1, Quận 6, TP. HCM",48771,2,7.8,25,332,4,0,0,0,02/01/1970,10.747475,106.65081,/ho-chi-minh/trieu-minh-hiep-tiem-banh-nguoi-hoa/binh-luan
217,MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Nguyễn Thị Thập,"347 Nguyễn Thị Thập, Quận 7, TP. HCM",647542,2,7.85,30,36,4,0,0,0,02/01/1970,10.7390556,106.7087878,/ho-chi-minh/mns-ice-snow-da-bao-mat-trai-cay-rung-nguyen-thi-thap/binh-luan
217,Phở Hùng - Nguyễn Tri Phương,"288 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",3855,2,6.562,158,97,53,0,0,0,02/01/1970,10.7624294,106.6684096,/ho-chi-minh/pho-hung-nguyen-tri-phuong/binh-luan
217,Nhà Hàng Khánh Linh - Lươn Xứ Nghệ,"94 Đường 79, P. Tân Quy, Quận 7, TP. HCM",276540,2,2.0,59,13,1,0,0,0,02/01/1970,10.7403634,106.708544,/ho-chi-minh/nha-hang-khanh-linh-luon-xu-nghe/binh-luan
