ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/cheesecake-ngon-quoc-huong/binh-luan,Cheesecake Ngon - Quốc Hương,"14E Quốc Hương, P. Thảo Điền",693,44454,2,7.598,1363,0,233,801,134547,139,10.8025002,106.7326164
/ho-chi-minh/kichi-kichi-lau-bang-chuyen-vincom-thu-duc/binh-luan,Kichi Kichi Lẩu Băng Chuyền - Vincom Thủ Đức,"Tầng 3, Vincom Thủ Đức, 216 Võ Văn Ngân",693,123219,2,8.822,499,0,316,31,28560,43,10.8502727,106.765321
/ho-chi-minh/gogi-house-quan-nuong-han-quoc-vincom-thu-duc/binh-luan,Gogi House - Quán Nướng Hàn Quốc - Vincom Thủ Đức,"Tầng 3 Vincom Thủ Đức, 216 Võ Văn Ngân",693,127866,2,7.522,895,0,161,55,30802,79,10.850343,106.765246
/ho-chi-minh/papas-chicken-beer-thu-duc/binh-luan,Papas' Chicken & Beer Thủ Đức,"165 Thống Nhất, P. Bình Thọ",693,71431,2,6.996,883,0,189,293,86006,71,10.848991,106.771842
/ho-chi-minh/banh-9-sach-banh-sau-rieng-duong-so-7/binh-luan,Bánh 9 Sạch - Bánh Sầu Riêng - Đường Số 7,"61 Đường Số 7, P. Thạnh Mỹ Lợi",693,1052143,2,9.954,5,0,723,30,1693,25,10.774821,106.762414
/ho-chi-minh/chickita-ga-nuong-lua-hong-nguyen-van-huong/binh-luan,Chickita - Gà Nướng Lửa Hồng - Nguyễn Văn Hưởng,"230 Nguyễn Văn Hưởng, P. Thảo Điền",693,926411,2,7.932,432,13,194,71,6935,127,10.811841,106.73144
/ho-chi-minh/koi-the-cafe-viet-nam-vincom-mega-mall-thao-dien/binh-luan,KOI Thé - Vincom Mega Mall Thảo Điền,"B1-K11-K12-K13, Vincom Mega Mall Thảo Điền, 161 Xa Lộ Hà Nội, P. Thảo Điền",693,198465,2,7.542,876,0,166,108,19374,65,10.802127,106.740698
/ho-chi-minh/sumo-bbq-vincom-mega-mall-thao-dien-buffet-nuong-lau/binh-luan,Sumo BBQ - Vincom Mega Mall Thảo Điền - Buffet Nướng & Lẩu,"Tầng 4, Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền",693,198707,2,8.214,796,0,127,25,16919,65,10.802127,106.740699
/ho-chi-minh/tiec-lang-man-cho-2-nguoi-remember-event/binh-luan,Tiệc Lãng Mạn Cho 2 Người - Remember Event,"16 Đường Số 17, P. Hiệp Bình Phước",693,215046,2,9.2,251,0,109,112,9855,82,10.8605575,106.7232595
/ho-chi-minh/the-coffee-house-vo-van-ngan/binh-luan,The Coffee House - Võ Văn Ngân,"114 Võ Văn Ngân, P. Bình Thọ",693,138625,2,7.54,506,0,137,57,26209,61,10.8505345,106.7605448
/ho-chi-minh/sushi-thu-duc-phu-chau/binh-luan,SuShi Thủ Đức - Phú Châu,"58 Phú Châu, P. Tam Phú",693,45172,2,6.944,616,0,84,135,31260,38,10.864758,106.746758
/ho-chi-minh/tra-sua-xien-que-hot-cold-tran-nao/binh-luan,Trà Sữa Xiên Que Hot & Cold - Trần Não,"13B Trần Não, P. Bình An",693,34623,2,7.034,451,0,119,27,17355,33,10.7975052,106.7315421
/ho-chi-minh/nha-hang-san-vuon-ben-song-kha-van-can/binh-luan,Nhà Hàng Sân Vườn Bên Sông - Kha Vạn Cân,"17/3 Kha Vạn Cân, P. Hiệp Bình Chánh",693,4468,2,6.856,617,0,98,121,137316,73,10.82997,106.733154
/ho-chi-minh/kim-thao-hot-vit-lon/binh-luan,Kim Thảo - Hột Vịt Lộn,104 Xuân Thủy,693,46554,2,6.13,321,0,122,200,105802,22,10.804002,106.736101
/ho-chi-minh/the-loop-restaurant/binh-luan,The Loop Restaurant & Coffee,"49 Thảo Điền, P. Thảo Điền",693,45081,2,7.668,806,0,50,183,77154,32,10.8060439,106.7353588
/ho-chi-minh/la-garden-restaurant/binh-luan,LA Garden Restaurant,"2 Đường Số 45, P. Bình An",693,191496,2,7.43,498,0,40,155,70008,15,10.7858161,106.722577
/ho-chi-minh/tram-cafe-thu-duc/binh-luan,Trầm Cafe - Thủ Đức,"132 Thống Nhất, P. Bình Thọ",693,1641,2,6.526,92,0,47,57,62385,38,10.842653,106.768291
/ho-chi-minh/tra-sua-sushi-thuc-an-nhanh-sunway/binh-luan,Trà Sữa - Sushi - Thức Ăn Nhanh Sunway,"27 Đường Số 17, P. Hiệp Bình Phước",693,80487,2,7.614,234,0,28,193,61406,28,10.860376,106.722495
/ho-chi-minh/mr-kiss-nha-hang-han-quoc/binh-luan,Mr. Kiss - Nhà Hàng Gà Hàn Quốc,"44 Song Hành, P. An Phú",693,229446,2,8.22,879,0,82,361,58971,24,10.8001343,106.7370587
/ho-chi-minh/tu-tri-khong-tu/binh-luan,Nhà Hàng Tư Trì - Lẩu Dê & Hải Sản,"6 Khổng Tử, P. Bình Thọ",693,4485,2,7.64,371,0,48,27,53360,22,10.843675,106.76908
/ho-chi-minh/king-coffee-hoa-binh/binh-luan,King Coffee - Hòa Bình,"19 Hoà Bình, P. Bình Thọ",693,133356,2,7.9,353,0,76,68,52958,18,10.84417,106.767429
/ho-chi-minh/green-garden-cafe-kha-van-can/binh-luan,Green Garden Cafe - Kha Vạn Cân,"439 Kha Vạn Cân, P. Hiệp Bình Chánh",693,123130,2,7.986,273,0,45,60,52069,23,10.8372048,106.7315659
/ho-chi-minh/gm-garden-hoa-hong-duong-den-sam-bi-dao-la-dua-duong-63/binh-luan,GM Garden - Hoa Hồng Đường Đen & Sâm Bí Đao Lá Dứa - Đường 63,"36 Đường 63, P. Bình Trưng Đông",693,1151669,2,0.0,0,0,0,0,2,0,10.7910519544756,106.7764936204388
/ho-chi-minh/tra-sua-nha-miu-tra-sua-tra-trai-cay-25-40-duong-so-6/binh-luan,Trà Sữa Nhà Miu - Trà Sữa & Trà Trái Cây - 25/40 Đường Số 6,"25/40 Đường Số 6 Khu Phố 6, P. Hiệp Bình Phước",693,1151665,2,0.0,0,0,0,0,1,0,10.8434053,106.7203625
/ho-chi-minh/chan-dat-thong-nhat/binh-luan,Chân Đất - Thống Nhất,"73 Thống Nhất, P. Bình Thọ",693,1151657,2,0.0,0,0,0,0,1,0,10.8471171980362,106.7705620840937
/ho-chi-minh/good-food-daily-quan-an-189-truong-van-bang.rtzch0/binh-luan,Good Food Daily - Quán Ăn - 189 Trương Văn Bang,"189 Trương Văn Bang, P. Thạnh Mỹ Lợi",693,1000058565,2,0.0,0,0,0,0,0,0,10.7749929,106.7567403
/ho-chi-minh/ga-nuong-thang-loi-huu-nghi/binh-luan,Gà Nướng Thắng Lợi - Hữu Nghị,"66 Hữu Nghị, P. Bình Thọ",693,1151636,2,0.0,0,0,0,0,1,0,10.848041,106.770733
/ho-chi-minh/buffet-bien-dong-hoang-dieu-2/binh-luan,Buffet Biển Đông - Hoàng Diệu 2,"219 Hoàng Diệu 2, P. Linh Trung",693,1151629,2,0.0,0,0,0,0,1,0,10.8540317521868,106.7718268541209
/ho-chi-minh/banh-canh-ca-loc-tam-34-ngo-quyen.uivyv4/binh-luan,Bánh Canh - Cá Lóc Tâm - 34 Ngô Quyền,"34 Ngô Quyền, P. Hiệp Phú",693,1000058550,2,0.0,0,0,0,0,1,0,10.8447547,106.7753149
/ho-chi-minh/glory-coffee-com-tam-suon-coffee/binh-luan,Glory Coffee - Cơm Tấm Sườn & Coffee,"B001 - Chung Cư Sadora, Số 2 Đường 13, P. An Lợi Đông",693,1151600,2,0.0,0,0,0,0,1,0,10.7769624884085,106.7248350834964
