ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/marukame-udon-aeon-mall/binh-luan,Marukame Udon - AEON Mall Tân Phú,"Tầng 3 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ",19,46914,2,7.486,2229,0,461,274,53468,133,10.801392,106.617929
/ho-chi-minh/foodcourt-aeon-mall/binh-luan,Food Court - AEON Mall Tân Phú,"Tầng Trệt AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ",19,46930,2,7.536,4641,0,553,234,76669,166,10.802165,106.618242
/ho-chi-minh/bep-rua-chan-ga-rut-xuong-ngam-sa-tac-shop-online/binh-luan,Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online,"127/5/9 Lê Thúc Hoạch, P. Phú Thọ Hòa",19,907273,2,9.792,60,3,703,266,101512,60,10.7879041,106.620884
/ho-chi-minh/oc-nho-sai-gon-trinh-dinh-trong/binh-luan,Ốc Nhớ Sài Gòn - Trịnh Đình Trọng,136 Trịnh Đình Trọng,19,118581,2,7.194,2441,0,296,509,122229,98,10.774874,106.644105
/ho-chi-minh/hotpot-story-aeon-mall-tan-phu/binh-luan,Hotpot Story AEON Mall Tân Phú,"Lô T49, Tầng 3, AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ",19,69937,2,7.224,1777,0,162,194,76690,49,10.8039503,106.6183813
/ho-chi-minh/kichi-kichi-lau-bang-chuyen-aeon-mall/binh-luan,Kichi Kichi Lẩu Băng Chuyền - AEON Mall Tân Phú,"Tầng 3 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ",19,133893,2,8.574,645,0,215,28,21012,57,10.801526,106.617653
/ho-chi-minh/tra-sua-gong-cha-nguyen-son/binh-luan,Trà Sữa Gong Cha - 貢茶 - Nguyễn Sơn,"7 Nguyễn Sơn, P. Phú Thạnh",19,263004,2,6.62,959,0,244,196,20874,79,10.780868,106.634209
/ho-chi-minh/biscotti-banh-hat-dinh-duong/binh-luan,Biscotti - Bánh Hạt Dinh Dưỡng - Phú Thọ Hòa,"156/74 Phú Thọ Hòa, P. Phú Thọ Hòa",19,1051428,2,9.984,10,0,661,37,1645,30,10.785014,106.632388
/ho-chi-minh/banh-que-ha-lan/binh-luan,Bánh Quế Hà Lan,"156/74 Phú Thọ Hoà, P. Phú Thọ Hoà",19,1044820,2,9.976,19,0,522,65,1976,19,10.7851681,106.6323625
/ho-chi-minh/the-gioi-steak-tan-son-nhi/binh-luan,Thế Giới Steak - Tân Sơn Nhì,"456 Tân Sơn Nhì, P. Tân Quý",19,24007,2,6.648,825,0,173,355,85598,63,10.7935896,106.6284548
