dish_type_id,dish_id,option_id,option_min_select,option_max_select,restaurant_id
5105617,116351727,718137,0,12,1151614
5105617,116351728,718137,0,12,1151614
5105617,116351730,718137,0,12,1151614
5105617,116351732,718137,0,12,1151614
5105618,116351733,718136,1,1,1151614
5105618,116351733,718137,0,121,1151614
5105618,116351734,718136,1,1,1151614
5105618,116351734,718137,0,12,1151614
5105618,116351735,718136,1,1,1151614
5105618,116351735,718137,0,12,1151614
5105618,116351737,718136,1,1,1151614
5105618,116351737,718137,0,12,1151614
5105618,116351738,718136,1,1,1151614
5105618,116351738,718137,0,12,1151614
5105618,116351740,718136,1,1,1151614
5105618,116351740,718137,0,12,1151614
5105611,116351681,718136,1,1,1151614
5105611,116351681,718137,0,12,1151614
5105611,116351682,718136,1,1,1151614
5105611,116351682,718137,0,12,1151614
5105611,116351685,718136,1,1,1151614
5105611,116351685,718137,0,12,1151614
5105611,116351687,718136,1,1,1151614
5105611,116351687,718137,0,12,1151614
5105611,116351689,718136,1,1,1151614
5105611,116351689,718137,0,12,1151614
5105611,116351691,718136,1,1,1151614
5105611,116351691,718137,0,12,1151614
5105611,116351693,718136,1,1,1151614
5105611,116351693,718137,0,12,1151614
5105611,116351695,718136,1,1,1151614
5105611,116351695,718137,0,12,1151614
5105611,116351696,718136,1,1,1151614
5105611,116351696,718137,0,12,1151614
5105611,116351698,718136,1,1,1151614
5105611,116351698,718137,0,12,1151614
5105611,116351700,718136,1,1,1151614
5105611,116351700,718137,0,32,1151614
5105611,116351701,718136,1,1,1151614
5105611,116351701,718137,0,12,1151614
5105611,116351702,718136,1,1,1151614
5105611,116351702,718137,0,12,1151614
5105611,116351704,718136,1,1,1151614
5105611,116351704,718137,0,12,1151614
5105611,116351708,718136,1,1,1151614
5105611,116351708,718137,0,12,1151614
5105611,116351711,718136,1,1,1151614
5105611,116351711,718137,0,12,1151614
5105611,116351715,718136,1,1,1151614
5105611,116351715,718137,0,12,1151614
5105615,116351717,718137,0,12,1151614
5105615,116351719,718137,0,12,1151614
5105615,116351721,718137,0,12,1151614
5105615,116351724,718137,0,12,1151614
5089105,115762304,717856,1,1,1000058505
5089105,115762306,717856,1,1,1000058505
5089105,115762310,717856,1,1,1000058505
5089105,115762313,717856,1,1,1000058505
5089105,115762317,717856,1,1,1000058505
5089105,115762327,717856,1,1,1000058505
5089105,115762335,717856,1,1,1000058505
5089105,115762346,717856,1,1,1000058505
5089105,115762349,717856,1,1,1000058505
5089105,115762361,717856,1,1,1000058505
5089105,115762364,717856,1,1,1000058505
5089105,115762366,717856,1,1,1000058505
5089105,115762368,717856,1,1,1000058505
5089105,115762289,717856,1,1,1000058505
5089105,115762291,717856,1,1,1000058505
5082954,115565283,717746,0,27,1151499
5082954,115565269,717746,0,27,1151499
5082954,115565280,717746,0,27,1151499
5082954,115565287,717746,0,27,1151499
5082792,115556877,717720,0,33,1151479
5082792,115556868,717720,0,33,1151479
5082792,115556869,717720,0,33,1151479
5082792,115556871,717720,0,33,1151479
5082792,115556872,717720,0,33,1151479
5082792,115556873,717720,0,33,1151479
5082792,115556874,717720,0,33,1151479
5082792,115556876,717720,0,33,1151479
5082792,115556878,717720,0,33,1151479
5082792,115556879,717720,0,33,1151479
5082792,115556880,717720,0,33,1151479
5082792,115556881,717720,0,33,1151479
