,request_id,dish_type_id,dish_id,dish_name,dish_description,dish_price_value,dish_total_like,dish_is_available,dish_type_name,option_id,option_min_select,option_max_select,item_id,item_name,item_price
0,1031704,2776277,41687349,Combo 1: 2 cá viên + 2 đậu bắp,,22000.0,10+,True,SIÊU SALE,,,,,,
1,1031704,2776277,58945288,Combo 4: 2 cá viên + 1 đậu bắp,,17000.0,3,True,SIÊU SALE,,,,,,
2,1031704,2776277,41687359,Combo 2: 1 xúc xích thịt heo + 1 đậu bắp,,21000.0,1,True,SIÊU SALE,,,,,,
3,1031704,2776277,41687374,Combo 3: 6 Nem Chua Rán,Tiết kiệm 11K,49000.0,2,True,SIÊU SALE,,,,,,
4,1031704,2776277,62600025,Combo 5: 2 cá viên + 1 khoai tây chiên + 2 đậu bắp,,42000.0,2,True,SIÊU SALE,,,,,,
5,1031704,1183090,10734405,Khoai Tây Lắc Phô Mai,,20000.0,10+,True,Khoai Tây - Tokbokki Lắc,,,,,,
6,1031704,1183090,10734409,Tokbokki Lắc Phô Mai,,20000.0,10+,True,Khoai Tây - Tokbokki Lắc,,,,,,
7,1031704,1183090,10681785,Khoai Tây Chiên,,20000.0,10+,True,Khoai Tây - Tokbokki Lắc,,,,,,
8,1031704,1183090,12507682,Da gà lắc phô mai,,25000.0,10+,True,Khoai Tây - Tokbokki Lắc,,,,,,
9,1031704,1183090,30334737,Sụm Gà Lắc Phô Mai,,27000.0,2,True,Khoai Tây - Tokbokki Lắc,,,,,,
10,1031704,1176960,10681769,Cá Viên Chiên,,6000.0,50+,True,Xiên Que Tự Chọn,,,,,,
11,1031704,1176960,10681772,Bò Viên,,6000.0,10+,True,Xiên Que Tự Chọn,,,,,,
12,1031704,1176960,10681840,Hải Sản Sốt Mayonnaise,,10000.0,50+,True,Xiên Que Tự Chọn,,,,,,
13,1031704,1176960,10681776,Hoành Thánh,,7000.0,10+,True,Xiên Que Tự Chọn,,,,,,
14,1031704,1176960,12507679,Tôm viên,,6000.0,10+,True,Xiên Que Tự Chọn,,,,,,
15,1031704,1176960,10681811,Xúc Xích Đại,,12000.0,10+,True,Xiên Que Tự Chọn,,,,,,
16,1031704,1176960,10681864,Đậu Hũ Cá,,7000.0,10+,True,Xiên Que Tự Chọn,,,,,,
17,1031704,1176960,10681779,Đậu Bắp,,5000.0,10+,True,Xiên Que Tự Chọn,,,,,,
18,1031704,1176960,10681843,Thanh Cua,,7000.0,10+,True,Xiên Que Tự Chọn,,,,,,
19,1031704,1176960,10681805,Phô Mai Que,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
20,1031704,1176960,10681816,Cá Viên Trứng Cút,,12000.0,10+,True,Xiên Que Tự Chọn,,,,,,
21,1031704,1176960,10681847,Hồ Lô,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
22,1031704,1176960,10681856,Sò Điệp,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
23,1031704,1176960,10681838,Bánh Bao Trứng Cá Hồi - Vàng,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
24,1031704,1176960,10734444,Bánh Bao Trứng Cá Hồi - Cam,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
25,1031704,1176960,10681869,Tôm Hùm Viên,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
26,1031704,1176960,10681824,Cá Viên Tẩm Cốm,,12000.0,10+,True,Xiên Que Tự Chọn,,,,,,
27,1031704,1176960,10681800,Cua Hoàng Đế,,13000.0,10+,True,Xiên Que Tự Chọn,,,,,,
28,1031704,1176960,11878659,Nem Chua Rán,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
29,1031704,1176960,30334753,Chả Cá Đậu Đũa,,12000.0,8,True,Xiên Que Tự Chọn,,,,,,
30,1031704,1176960,10681853,Mực Cuộn Cắt Khoanh,,13000.0,5,True,Xiên Que Tự Chọn,,,,,,
31,1031704,1176960,10681794,Bánh Mì Hải Sản,,10000.0,10+,True,Xiên Que Tự Chọn,,,,,,
32,1031704,1176960,12507674,Fillet tàu hủ ki,,12000.0,10+,True,Xiên Que Tự Chọn,,,,,,
33,1031704,1176960,10681831,Chạo Cá,,10000.0,4,True,Xiên Que Tự Chọn,,,,,,
34,1031704,1176960,38173337,Chả Cốm,Chả cốm Hà Nội thơm béo lắm á khách ưiiii,15000.0,3,True,Xiên Que Tự Chọn,,,,,,
35,1031704,1176960,30334770,Hotdog Xúc Xích Phô Mai,,21000.0,2,True,Xiên Que Tự Chọn,,,,,,
36,1031704,1176957,10681757,Mẹt - Combo xiên que - Size M,,99000.0,10+,True,Zhen Food Combo,,,,,,
37,1031704,1176957,10681753,Mẹt - Combo xiên que - Size S,,69000.0,5,True,Zhen Food Combo,,,,,,
38,1031704,1176957,10681762,Mẹt - Combo xiên que - Size L,,169000.0,3,True,Zhen Food Combo,,,,,,
39,1031704,1184739,11591026,Mỳ trộn Sài Gòn,,28000.0,6,True,Mỳ Trộn,,,,,,
