ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/khu-am-thuc-sinh-thai-binh-xuyen/binh-luan,Khu Ẩm Thực Sinh Thái Bình Xuyên,C3/18 Phạm Hùng,696,23944,2,7.24,2330,0,175,135,153004,70,10.7318523529911,106.6727779577026
/ho-chi-minh/panda-bbq-quan-thit-nuong-da-lat-duong-so-9a/binh-luan,Panda BBQ - Quán Thịt Nướng Đà Lạt - Đường Số 9A,"137 Đường Số 9A, Khu Dân Cư Trung Sơn, X. Bình Hưng",696,89691,2,6.716,1101,0,192,156,35558,51,10.7364484,106.6895213
/ho-chi-minh/tra-sua-xien-que-hot-cold-binh-chanh/binh-luan,Trà Sữa Xiên Que Hot & Cold - Bình Chánh,"132 Đường Số 9A, KDC Trung Sơn, X. Bình Hưng ",696,17386,2,6.896,384,0,95,19,10736,36,10.73489,106.689466
/ho-chi-minh/bo-to-tay-ninh-nam-sanh-pham-hung/binh-luan,Bò Tơ Tây Ninh Phạm Hùng - Phạm Hùng,"C3/21T Phạm Hùng, Xã Bình Hưng",696,97276,2,7.574,707,0,66,147,83077,49,10.73323,106.673818
/ho-chi-minh/gogi-house-quan-nuong-han-quoc-satra-pham-hung/binh-luan,GoGi House - Quán Nướng Hàn Quốc - Satra Phạm Hùng,"Tầng 1 & 2 TTTM Satra, C6/27 Phạm Hùng, Xã Bình Hưng",696,627115,2,8.45,178,0,75,9,4013,9,10.732976,106.67414
/ho-chi-minh/quan-404-duong-so-9/binh-luan,Lẩu Dê 404 - Đường số 9,"110A Đường Số 9A, Khu Dân Cư Trung Sơn, P. Bình Hưng",696,9315,2,6.59,329,0,39,29,17426,17,10.735395,106.688823
/ho-chi-minh/de-nhat-bbq/binh-luan,Đệ Nhất BBQ,"43-45 Đường Số 1A, KDC Trung Sơn, Bình Hưng",696,104243,2,4.378,232,0,61,8,5987,19,10.736618,106.693393
/ho-chi-minh/kfc-central-plaza/binh-luan,Gà Rán KFC - Central Plaza,"C6/27 Phạm Hùng, Xã Bình Hưng",696,4286,2,6.75,139,0,31,10,6149,10,10.7332385,106.674355
/ho-chi-minh/com-nieu-trung-son/binh-luan,Cơm Niêu Trung Sơn,"285 - 287 Đường Số 9A, KDC Trung Sơn, X. Bình Hưng",696,739317,2,7.286,105,0,30,31,2297,8,10.731381,106.689606
/ho-chi-minh/quan-nuong-bo-cuoi-pham-hung/binh-luan,Quán Nướng Bò Cười - Phạm Hùng,C1/21 - C2/23 Phạm Hùng,696,204975,2,6.756,374,0,28,7,12816,7,10.734906,106.67292
