ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/ga-hap-hem-34-hoc-mon/binh-luan,Gà Hấp Hèm 34 Hóc Môn,"52/4 Nguyễn Thị Thử, Xã Xuân Thái Sơn",695,38310,2,6.66,210,0,38,73,34484,29,10.867003,106.578315
/ho-chi-minh/birdlove-cafe-nguyen-huu-cau/binh-luan,Birdlove Cafe - Nguyễn Hữu Cầu,"55/5 Nguyễn Hữu Cầu, xã Trung Chánh",695,98705,2,7.222,135,0,45,27,5860,23,10.8671117,106.6140697
/ho-chi-minh/yogun-korea-yogurt-le-thi-ha/binh-luan,YoGun Korea Yogurt - Lê Thị Hà,"8/4A Lê Thị Hà, Xã Tân Xuân",695,1051020,2,8.854,7,0,47,75,247,17,10.8858461890804,106.5979788005997
/ho-chi-minh/tra-sua-mr-ti-do-le-thi-ha/binh-luan,Trà Sữa Mr. Tí Đô - Lê Thị Hà,57 Lê Thị Hà,695,158632,2,6.772,173,0,39,14,5187,15,10.8866813,106.5983914
/ho-chi-minh/banh-xeo-co-them-tran-minh-quyen/binh-luan,Bánh Xèo Cô Thêm - Song Hành,154 Song Hành,695,32967,2,5.836,226,0,39,16,37853,12,10.857688,106.608421
/ho-chi-minh/lee-vu-coffee-phan-van-hon/binh-luan,LEE VU Coffee - Phan Văn Hớn,"47/7 Phan Văn Hớn, X. Bà Điểm",695,69880,2,7.756,127,0,27,30,7079,14,10.8379585,106.6018723
/ho-chi-minh/the-little-love-am-thuc-han-thai-nhat/binh-luan,The Little Love - Ẩm Thực Hàn Thái Nhật,"56/1 Nguyễn Hữu Cầu, X. Trung Chánh",695,231964,2,7.664,169,0,19,17,37318,12,10.868552,106.613949
/ho-chi-minh/smile-coffee-nguyen-huu-cau/binh-luan,Smile Coffee - Nguyễn Hữu Cầu,56/1S Nguyễn Hữu Cầu,695,133879,2,8.1,191,0,22,24,3320,14,10.868885,106.613865
/ho-chi-minh/tra-sua-bobapop-nguyen-anh-thu/binh-luan,Trà Sữa Bobapop - Nguyễn Ảnh Thủ,"130/5 Nguyễn Ảnh Thủ, Ấp Trung Chánh 1, Xã Trung Chánh",695,714778,2,7.074,38,0,38,14,3664,9,10.86034,106.610422
/ho-chi-minh/toretto-milk-tea-coffee/binh-luan,Toretto Milk Tea & Coffee - Song Hành,"47/5F Song Hành, Tổ 13, Ấp Trung Chánh 2, Xã Trung Chánh",695,150628,2,8.13,186,0,17,25,2212,9,10.8633097,106.6039064
/ho-chi-minh/khang-hi-buffet-lau-nuong/binh-luan,Khang Hí - Buffet Lẩu & Nướng,"27/6 Song Hành, QL 22",695,293162,2,7.846,80,0,17,58,12815,7,10.8718290719237,106.598281860352
/ho-chi-minh/the-pizza-company-nguyen-anh-thu/binh-luan,The Pizza Company - Nguyễn Ảnh Thủ,"75/3 - 75/4 Nguyễn Ảnh Thủ, Ấp Vạn Thạnh, Xã Trung Chánh",695,275365,2,7.076,173,0,21,14,3976,8,10.8641579,106.6129948
/ho-chi-minh/phat-dat-tiem-banh/binh-luan,Phát Đạt - Tiệm Bánh,"115/3 Phan Văn Hớn, Xã Bà Điểm",695,195621,2,6.84,47,0,10,21,49489,3,10.8591408,106.5766192999999
/ho-chi-minh/bo-lua-dac-san-bo-to-tay-ninh/binh-luan,Bò Lửa - Đặc Sản Bò Tơ Tây Ninh,"244 Tô Ký, Ấp Tam Đông",695,233441,2,8.332,45,0,3,7,37115,1,10.879974,106.609148
/ho-chi-minh/aloha-mi-cay-han-quoc/binh-luan,Aloha - Mì Cay Hàn Quốc,"64/3K Đường Thị Trấn Tân Hiệp, Ấp Tân Thới 1, X. Tân Hiệp",695,239788,2,0.0,0,1,0,0,35244,1,10.902541,106.597794
/ho-chi-minh/pho-xua/binh-luan,Phố Xưa Cafe ,"126/8 Nguyễn Ảnh Thủ, Trung Chánh",695,333,2,6.016,60,0,12,10,11149,5,10.863737,106.612444
/ho-chi-minh/am-thuc-canh-dong-hoang/binh-luan,Ẩm Thực Cánh Đồng Hoang,"47/6B Ấp Trung Đông, Xã Thới Tam Thôn",695,85113,2,7.154,100,0,9,7,10330,6,10.8976059,106.6114473999999
/ho-chi-minh/co-ba-nu-chao-bau/binh-luan,Cô Ba Nữ - Cháo Bầu,"28/8 Ấp Trung Đông, Xã Thới Tam Thôn",695,94612,2,5.856,35,0,7,4,9940,5,10.9057901598895,106.616409338806
