ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/moon-fast-food-xuan-hong/binh-luan,Moon Fast Food - Món Hàn - Xuân Hồng,"53 Xuân Hồng, P. 12",16,71782,2,6.926,3286,0,566,1471,162399,128,10.794895,106.652923
/ho-chi-minh/sumo-bbq-le-van-sy/binh-luan,Sumo BBQ - Lê Văn Sỹ - Buffet Nướng & Lẩu,"300 Lê Văn Sỹ, P. 1",16,5028,2,7.71,2461,0,341,236,142037,155,10.796485,106.665391
/ho-chi-minh/izzibing-pho-quang/binh-luan,IZZIBING Snow Dessert Coffee - Bingsu,"49 Phổ Quang, P. 2",16,155054,2,7.448,2842,0,541,832,116346,160,10.8060569,106.6680839
/ho-chi-minh/bun-dau-mam-tom/binh-luan,Bún Đậu Homemade - Hồng Hà,"6 Hồng Hà, P. 2",16,13439,2,6.768,2470,0,626,582,135784,181,10.813378,106.666948
/ho-chi-minh/ding-tea-nguyen-thai-binh/binh-luan,Ding Tea - Nguyễn Thái Bình," 29 Nguyễn Thái Bình, P.4",16,104750,2,7.48,1862,0,392,326,89624,119,10.7998789,106.6591941
/ho-chi-minh/gogi-house-nuong-han-quoc-nguyen-hong-dao/binh-luan,GoGi House - Nướng Hàn Quốc - Nguyễn Hồng Đào,"127 Nguyễn Hồng Đào, P. 14",16,315714,2,9.504,582,0,636,13,10786,477,10.7947651,106.6427902
/ho-chi-minh/banh-mi-pew-pew/binh-luan,Bánh Mì PewPew - Út Tịch,"66 Út Tịch, P. 4",16,794391,2,6.672,466,0,800,143,76889,30,10.796009,106.658714
/ho-chi-minh/kimbap-hoang-tu/binh-luan,Kimbap Hoàng Tử - Món Hàn Quốc - Lê Văn Sỹ,"337/2 Lê Văn Sỹ, P.1",16,15006,2,7.176,1183,0,327,798,93007,74,10.79482,106.665959
/ho-chi-minh/com-tron-2-co-tan-canh/binh-luan,Cơm Trộn 2 Cô - Tân Canh,"23 Tân Canh, P. 1",16,163473,2,6.518,1685,0,349,416,52611,68,10.7966849,106.6674437
/ho-chi-minh/phuc-long-cong-hoa/binh-luan,Phúc Long Cộng Hoà,1B Cộng Hòa,16,232392,2,6.828,1902,0,367,108,55956,99,10.800532,106.660613
